Summary,Work type,Work item ID,Parent,Description
Project Discovery and Technical Scope,Epic,100,,"Objective — Turn the LiteVLA-Edge paper into a realistic beginner-friendly implementation plan.
Context — The paper is a systems deployment paper for on-device VLA inference using a compact multimodal model, ROS 2, quantization, and latency benchmarking.
Scope — Included: paper analysis, MVP definition, assumptions, architecture decisions, risks, team responsibilities, and project conventions.
Success criteria — MVP scope is documented; team roles are clear; core technical risks are tracked; implementation is split into beginner-sized work items
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
"Repository, Development Environment, and Tooling",Epic,101,,"Objective — Create a stable engineering foundation for Python, ROS 2, ML experiments, and deployment scripts.
Context — The team needs a repeatable setup before building the model, ROS nodes, and benchmarks.
Scope — Included: repo layout, dependency management, local dev setup, coding standards, CI basics, configuration, and run scripts.
Success criteria — new engineer can run setup from README; workspace builds locally; basic checks run in CI; configuration is versioned safely
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
ROS 2 Simulation and Robot Control Skeleton,Epic,102,,"Objective — Build the non-ML robot loop that receives camera frames and publishes movement commands.
Context — The paper routes model outputs through a ROS 2 bridge using velocity commands; this skeleton proves the robot path before adding ML.
Scope — Included: simulation environment, camera subscription, velocity publishing, dummy controller, heartbeat, and manual control.
Success criteria — simulation runs; robot moves from dummy actions; camera frames are available; control loop remains stable without ML
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
"Action Interface, Parser, and Safety Layer",Epic,103,,"Objective — Define safe structured actions and convert model text into bounded robot commands.
Context — The model must produce deterministic action commands that are safe to parse and execute in ROS 2.
Scope — Included: discrete and continuous action schemas, parsers, validation, safety clamps, fallback STOP behavior, and command smoothing.
Success criteria — invalid model output maps to STOP; velocity limits are enforced; parser has unit tests; action schema is documented
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
Baseline Vision-Language Inference Prototype,Epic,104,,"Objective — Connect a starter VLM to the robot loop before custom fine-tuning.
Context — Beginners should first prove image plus instruction can produce action-like outputs before training.
Scope — Included: model selection, prompt templates, image preprocessing, inference wrapper, parser integration, and baseline latency logs.
Success criteria — model accepts image and instruction; model returns valid action text; baseline works in offline scripts; latency is measured
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
"Dataset Generation, Labeling, and Validation",Epic,105,,"Objective — Create an image-instruction-action dataset for supervised fine-tuning.
Context — The paper relies on curated robotic demonstrations but does not provide a full dataset recipe, so the team must create a simplified version.
Scope — Included: data schema, simulation data collection, labels, train/validation split, dataset loader, quality checks, and dataset documentation.
Success criteria — dataset schema is stable; first labeled dataset is created; loader works in training script; quality report identifies label issues
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
Supervised Fine-Tuning and Model Evaluation,Epic,106,,"Objective — Fine-tune a compact multimodal model to output robot actions.
Context — The paper uses supervised image-to-action learning with LoRA before quantization; this epic implements a beginner-scaled version.
Scope — Included: training format, LoRA config, training loop, checkpoints, validation, manual inspection, and comparison against baseline.
Success criteria — first adapter trains successfully; validation metrics are reported; model outputs valid actions; results are reproducible from config
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
"Quantization, GGUF Packaging, and Edge Runtime",Epic,107,,"Objective — Compress and package the trained model for faster local inference.
Context — The paper uses post-training 4-bit GGUF quantization and llama.cpp CUDA inference for on-device deployment.
Scope — Included: quantization experiments, GGUF conversion research, llama.cpp execution, Jetson setup, runtime configuration, and FP32 versus quantized comparison.
Success criteria — quantized inference path is documented; at least one low-bit model runs; latency is measured; export blockers are explicitly captured
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
End-to-End ROS 2 VLA Runtime Integration,Epic,108,,"Objective — Replace dummy actions with the model inference service inside the robot control loop.
Context — The target system is a perception-reasoning-action loop where the model runs asynchronously and ROS 2 publishes safe commands.
Scope — Included: inference service, ROS client node, async orchestration, instruction management, runtime health checks, and end-to-end demo flow.
Success criteria — camera plus instruction reaches model; model action reaches /cmd_vel; runtime handles inference delays; demo runs without crashes
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
"Benchmarking, Evaluation, and Observability",Epic,109,,"Objective — Measure latency, output validity, task success, safety behavior, and system reliability.
Context — The paper emphasizes deployability and latency, so the project needs reproducible benchmarks and logs.
Scope — Included: benchmark scripts, metric definitions, simulation episodes, failure analysis, logging dashboards, and comparison tables.
Success criteria — mean and p95 latency are reported; valid action rate is reported; simulation success rate is measured; failure cases are saved
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
"Final Demo, Documentation, and Handoff",Epic,110,,"Objective — Package the work into a clear demo and learning-friendly handoff.
Context — The team needs a final artifact that explains what was built, what differs from the paper, and how to continue.
Scope — Included: demo script, architecture diagrams, setup docs, final report, known limitations, and next-step backlog.
Success criteria — demo can be run by a teammate; documentation explains setup and architecture; results table is included; future work is clearly listed
Risks and dependencies — N/A
Other information — Source: uploaded LiteVLA-Edge paper and Jira CSV generation prompt."
Summarize the LiteVLA-Edge system architecture,Story,1000,100,"Objective — Produce a shared architecture summary for the team.
Context — The paper describes a perception, reasoning, and action pipeline around a compact VLA model and ROS 2.
Scope — Included: one-page summary, component list, data flow, and assumptions.
Success criteria — team can explain the system in plain language; major components are listed; paper-specific claims are separated from project assumptions
Risks and dependencies — N/A
Other information — N/A"
Define MVP demo task and non-goals,Story,1001,100,"Objective — Choose a narrow demo that can be completed by beginners.
Context — The full research system is too broad for a first implementation.
Scope — Included: target robot task, input instruction examples, environment assumptions, and out-of-scope items.
Success criteria — single MVP demo is approved; non-goals are explicit; success criteria are measurable
Risks and dependencies — N/A
Other information — N/A"
